package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
172439346674000,20170831,손괴원인자부담금등록및급수공사비관리,"급수공사비및원인자부담금 요금감액(진관동126-10)",요금과-28271,이지영,10년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116490
172439346677000,20170831,소방특별조사,"소방특별조사 및 안전점검 일정 통보(안내)",예방과-20453,김영수,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116489
172439346683000,20170831,복리후생지원,"세탁물처리비 지출(8월)",행정관리과-10201,김흥만,5년,행정관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116488
172439346693000,20170831,도로시설물공사및유지관리,"관급자재 구매(미끄럼방지포장재-가마산지하보차도보수공사)",시설보수과-7456,김승진,5년,시설보수과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116487
172439346698000,20170901,배수지가압장기전설비관리,"일일공급량 현황보고(08/30)",시설관리과-19923,류홍규,5년,시설관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13125802
172439346716000,20170831,소방특별조사,"조치명령 발부대상 확인점검 계획(한양대학교)",예방과-1904,이상수,3년,예방과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116486
172439346717000,20170831,옥내누수탐지관리,"옥내누수진단 민원 처리 완료",현장민원과-12570,조본석,10년,현장민원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116485
172439346727000,20170831,복무관리,"휴가 결재 신청 (2017-09-01 ~ 2017-09-29)",현장대응단-5992,정선호,3년,현장대응단,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116484
172439346729000,20170831,상하수도세입조정및현계관리,수입금(징수결정)결의서(조정),요금과-22610,노재홍,5년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116483
172439346731000,20170831,민원관리,"배차10분 준수 시키세요평균운행시간 범일운수에서 시정바랍니다...",버스정책과-6174,백철,10년,버스정책과,부분공개,,
172439346735000,20170831,업무계획및보고관리,"2017년 8월 중 시민 소방안전교육 추진실적 보고(강서)",소방행정과-10457,유성필,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116482
172439346737000,20170831,체육시설대관관리,"체육시설(다목적구장) 사용허가  통보 - 이승준",목동사업과-10826,윤희문,5년,목동사업과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116481
172439346740000,20170901,공공데이터개방및열린데이터광장운영,"공공데이터 제공요청 민원 처리 요청(생활권 경계 shape 파일)",통계데이터담당관-9832,김효태,5년,통계데이터담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13125801
172439346743000,20170831,소상공인정책수립및지원,"지출품의 삭제 요청",소상공인지원과-7604,이승진,5년,소상공인지원과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116480
172439346748000,20170831,계량기재검정,"수도미터 검정결과 회신(2-2)",계량기검정과-2916,송홍석,5년,계량기검정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116479
172439346749000,20170831,복무관리,"초과근무확인대장 결재 신청 (2017-08-29~2017-08-29)",시설과-5394,박향숙,3년,시설과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116478
172439346752000,20170831,민원관리,"국무조정실 규제개혁신문고 접수사항 답변 제출 요청 (서울특별시 한강 부유식 수상구조물의 구조, 설비 및 검사기준에 관한 지침 관련)",법무담당관-13100,이진봉,10년,법무담당관,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116477
172439346764000,20170831,초고속정보통신망운영,"초고속정보통신망 운영일지(8.30)",정보통신보안담당관-17390,임종학,5년,정보통신보안담당관,비공개,,
172439346765000,20170831,상수도민원처리,"급수공사 승인(중랑구 망우동 401-46 )",시설관리과-23973,박윤선,10년,시설관리과,부분공개,,
172439346771000,20170831,물품구매및관리,"제18회 서울 119 소방동요대회 여행자보험 가입 계획 보고",소방행정과-9950,박신회,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116476
172439346772000,20170831,홍보지원,"언론 보도의뢰 협조사항 알림",소방행정과-9949,윤승백,3년,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116475
172439346773000,20170831,인사관리,"소방공무원 인사발령 통지(근속승진)",소방행정과-9943,전칠수,준영구,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116474
172439346784000,20170831,상하수도요금조정및징수,"수도계량기 교체 의뢰",요금과-24218,배용호,10년,요금과,부분공개,,
172439346787000,20170831,혼잡통행료압류해제,"자동차 압류등록 해제촉탁(8023)",교통정책과-4915,전설이,30년,교통정책과,부분공개,,
172439346799000,20170901,원무보조인력관리,"공익안전관, 공무직(시설경비원) 직원 근무명령 변경(9/01,06)",원무과-15429,김태기,5년,원무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13125800
172439346802000,20170901,일반업무관리,"직원 생일축하 문화상품권 구입(9월)",총무과-14769,박선은,3년,총무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13125799
172439346806000,20170831,누수복구공사관리,"옥외누수신고 민원 처리 완료(성내동 403-**)",시설관리과-16627,송종범,5년,시설관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116473
172439346809000,20170831,물재생센터운영및관리,"2017.1분기 음폐수 처리비용 환급액 변경 알림",물재생시설과-12980,이인화,영구,물재생시설과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116472
172439346810000,20170831,수도요금민원처리,"정수처분 처리",요금과-18922,조윤형,30년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116471
172439346822000,20170831,옥내누수탐지관리,"옥내누수진단 민원 처리 완료",현장민원과-12571,조본석,10년,현장민원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13116470
