package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
171102718195000,20170421,예산집행및회계관리,"북한이탈주민지원지역협의회 참석자 간담회비 지급",자치행정과-8860,홍세정,5년,자치행정과,공개,,
171102718202000,20170421,복무관리,"2017년 5월 보안당번 및 일직근무 명령",청계천박물관-1373,김성룡,3년,청계천박물관,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839490
171102718203000,20170421,도로보수소송및배상책임관리,"제1심 판결문(일부승소)에 따른 의견 제출(관리번호 2016-0164)",도로보수과-2304,정철식,10년,도로보수과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839489
171102718210000,20170421,소방대상물안전점검운영,"고층건축물 불시점검표(용산파*** B동)",예방과-4873,박래성,3년,예방과,부분공개,,
171102718216000,20170421,지방세부과징수,"과세정보 제출명령에 대한 회신(2016가단251225)",세무과-9417,정경재,10년,세무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839488
171102718217000,20170421,복무관리,"휴가(연가) 결재 신청(2017-4-26)",현장대응단-2880,신유진,3년,현장대응단,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839487
171102718218000,20170421,일반업무관리,"행정국 소속 공무원 복직원 제출",총무과-14095,오권영,3년,총무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839486
171102718235000,20170421,예산집행및회계관리,"2017년 민방위교육 설문조사 관련 간담회",민방위담당관-6501,오영남,5년,민방위담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839485
171102718244000,20170421,차량관리,"차량운행일지(64무8245, 64무8246)",행정지원과-7116,임태섭,5년,행정지원과,공개,,
171102718246000,20170421,구급운영,"2017.04.18.(18:00 ~ 09:00 2팀 2소대 야간) 구급활동일지",녹번119안전센터-2270,황선미,3년,녹번119안전센터,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839484
171102718253000,20170421,농수산물도매시장등관리,"세외수입 부과금액 감액 및 환급요청(재발송)",도시농업과-1152,권영재,5년,도시농업과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839483
171102718259000,20170420,복무관리,"초과근무확인대장 결재 신청",교통정책과-9461,조경진,3년,교통정책과,부분공개,,
171102718262000,20170421,소방대상물안전점검운영,"고층건축물 불시점검표(용산파*** C동)",예방과-4872,박래성,3년,예방과,부분공개,,
171102718263000,20170421,복무관리,"조퇴 결재 신청 (위.이향우 2017-04-20)",길동119안전센터-1640,이향우,3년,길동119안전센터,공개,,
171102718273000,20170421,복무관리,"출장 결재 신청 (2017-04-21)",인재양성과-3649,이춘우,3년,인재양성과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839482
171102718283000,20170421,공원여가시설관리,"남산공원 국궁장(석호정) 사용 승인",공원여가과-1810,주경숙,5년,공원여가과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839481
171102718284000,20170420,복무관리,"출장 결재 신청 (2017-04-20)",시설관리과-8182,장기정,3년,시설관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11830123
171102718288000,20170421,물품구매및관리,"물품검수조서(신규임용자 격려물품)",총무과-5499,이향란,5년,총무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839480
171102718290000,20170421,복무관리,"지참 결재 신청 (2017-04-21)",원무과-5880,남기선,3년,원무과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839479
171102718315000,20170421,서울역일대도시재생지원센터운영,"청년크리에이터 거점공간 선풍기 구입비용 지출",공공재생과-4466,박주연,10년,공공재생과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839478
171102718323000,20170420,복무관리,"휴가 결재 신청 (2017-04-27)",난곡119안전센터-1938,최영철,3년,난곡119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11830122
171102718325000,20170421,예산집행및회계관리,"제4차 안보정책자문회의 토의 주제 관련 간담회",민방위담당관-6504,오영남,5년,민방위담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11839477
171102718335000,20170421,기록물열람및대출관리,"지적 보존문서 사본 송부(강북구청)",정보공개정책과-9250,정상진,3년,정보공개정책과,부분공개,,
