package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
171956897022000,20170714,일반업무관리,"[이송] 오토바이구급대 소방공무원 설문조사 참여 요청",소방행정과-9446,홍재석,3년,소방행정과,공개,,
171956897024000,20170714,배수지가압장근무관리,"제어센터 근무일지(7. 13)",시설관리과-14428,윤영희,3년,시설관리과,공개,,
171956897026000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",급수운영과-15816,홍기의,3년,급수운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661978
171956897028000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",관리단속과-9427,김계열,3년,관리단속과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661977
171956897031000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",시설보수과-5993,윤동원,3년,시설보수과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661976
171956897032000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",조사담당관-11842,이용수,3년,조사담당관,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661975
171956897033000,20170714,동물폐사관리,"동물관리현황 통보",동물복지1과-2724,이상하,5년,동물복지1과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661974
171956897037000,20170714,배수지가압장기전설비관리,"순찰반 업무일지",시설관리과-16389,이재현,5년,시설관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661973
171956897044000,20170714,복무관리,"휴가 결재 신청 (2017-07-17)",회현119안전센터-2876,윤상희,3년,회현119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661972
171956897052000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",기획담당관-10307,강신애,3년,기획담당관,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661971
171956897054000,20170714,일반업무관리,"외출 결재 신청 (2017-07-14)",재생정책과-8273,주호돈,3년,재생정책과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661970
171956897057000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",예방과-17104,민정기,3년,예방과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661969
171956897059000,20170714,청사유지운영,"수 · 배전 일일 점검일지(2017.07.13)",자원관리과-9702,박연용,3년,자원관리과,공개,,
171956897060000,20170714,복무관리,"휴가 결재 신청 (2017-07-14)",소상공인지원과-5156,이정순,3년,소상공인지원과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661968
171956897061000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",시설관리과-16391,손병대,3년,시설관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661967
171956897063000,20170714,복무관리,"당직근무 일일상황 보고【2017. 7. 13(목) 숙직】",시설관리과-20540,송종봉,3년,시설관리과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661966
171956897064000,20170714,일반업무관리,"종합상황실 근무일지(2017-7-13 / 3팀 야간)",종합상황실-8422,김종협,3년,종합상황실,공개,,
171956897068000,20170714,소방차량관리,"[관악]특수차량(제독화학차, 조연차) 출동불능사유 발생 알림",현장대응단-6415,임보윤,5년,현장대응단,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661965
171956897070000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",시설관리과-19295,여정식,3년,시설관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661964
171956897073000,20170714,복무관리,초과근무명령서(2017년7월15일~18일),목동사업과-8570,염순일,3년,목동사업과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661963
171956897083000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",도시철도계획부-7071,박현우,3년,도시철도계획부,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661962
171956897085000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",소방행정과-9867,소은영,3년,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661961
171956897087000,20170714,복무관리,"출장 결과 보고서",재난관리과-5001,한형회,3년,재난관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661960
171956897088000,20170714,기계시설물운영,"냉난방기 온도센서 교체비 지출",총무과-24861,채충일,5년,총무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661959
171956897091000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",행정지원과-17836,이병돈,3년,행정지원과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661958
171956897092000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",소방행정과-8122,이동현,3년,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661957
171956897095000,20170714,일반업무관리,"회계직인 등록 공고번호 부여 의뢰",기획운영과-332,강필중,3년,기획운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661956
171956897096000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",정수운영과-8979,이미숙,3년,정수운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661955
171956897097000,20170714,중앙제어실관리,아리수정수센터운영일보,정수과-2405,이병조,3년,정수과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661954
171956897099000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",급수운영과-18348,김왕근,3년,급수운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661953
171956897102000,20170714,복무관리,"휴일근무명령서(2017년 7월15일)",목동사업과-8569,염순일,3년,목동사업과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661952
171956897104000,20170715,복무관리,"휴가 결재 신청 (2017-07-14)",법률지원담당관-13432,오정은,3년,법률지원담당관,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12664744
171956897106000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",토목부-14815,남덕희,3년,토목부,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661951
171956897108000,20170714,복무관리,"출장 결재 신청 (2017-07-14)김재원",소방행정과-10962,김재원,3년,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661950
171956897110000,20170714,복무관리,"휴가 결재 신청 (2017-07-17)",시설보수과-5986,윤동원,3년,시설보수과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661949
171956897111000,20170714,구급운영,"2017.07.11.(2팀 야간)구급출동 보고",수락119안전센터-2865,장만호,3년,수락119안전센터,비공개,,
171956897114000,20170714,복무관리,"출장결과보고서(2017-7-13 / 정창우)",예방과-17620,정창우,3년,예방과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661948
171956897116000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",주거재생과-8885,정은희,3년,주거재생과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661947
171956897119000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",대외협력담당관-7203,성수미,3년,대외협력담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661946
171956897124000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",시설관리과-19294,김인회,3년,시설관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661945
171956897127000,20170714,정수약품관리,"정 수 약 품(산소) 수 불 대 장",정수과-3738,김관우,10년,정수과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661944
171956897128000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",급수운영과-16735,조은희,3년,급수운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661943
171956897138000,20170714,복무관리,"당직근무일지(07.13.) 숙직",관리단속과-8073,박승만,3년,관리단속과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661942
171956897139000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",역촌119안전센터-3217,김형래,3년,역촌119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661941
171956897143000,20170714,복무관리,"휴가 결재 신청 (2017-07-17)",숭인119안전센터-3463,배상덕,3년,숭인119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661940
171956897155000,20170714,복무관리,"출장 결재 신청 (2017-07-14)",시설관리과-19273,권용기,3년,시설관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661939
171956897157000,20170714,주택제도개선,"민원 회신",주택정책과-12790,최대영,준영구,주택정책과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/12661938
