package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
172087635971000,20170727,복무관리,"조퇴 결재 신청 (2017-07-28)",길동119안전센터-3050,김용성,3년,길동119안전센터,공개,,
172087635973000,20170728,예산집행및회계관리,"강북구 자원순환 컨퍼런스 개최 관련 소요경비 지급",자원순환과-12967,이순자,5년,자원순환과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790125
172087635977000,20170728,뉴타운재개발대안사업관리,"빈집 실태조사 및 정비시스템 구축방안  지자체 설명회 개최 참석 결과보고",주거환경개선과-8593,이동호,5년,주거환경개선과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790124
172087635978000,20170728,유통식품안전성관리,"식품 방사능 검사결과 알림",식품정책과-3319,안성호,5년,식품정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790123
172087635987000,20170727,복무관리,"조퇴 결재 신청 (2017-07-30)",현장대응단-5825,김재점,3년,현장대응단,공개,,
172087635990000,20170728,일반업무관리,"2017년 3차 서울형 뉴딜일자리「탈시설 발달장애인 활동 서포터즈」채용 결과",장애인복지정책과-12814,김영은,3년,장애인복지정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790122
172087636004000,20170728,교육훈련관리,"구급대원 교육훈련 기록표(최진주)",휘경119안전센터-3396,최진주,3년,휘경119안전센터,공개,,
172087636008000,20170728,일반업무관리,"2017년 유연근무 추가명령",역사문화재과-13668,황향선,3년,역사문화재과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790121
172087636010000,20170728,약업소관리,"부적합 의료기기 조치 의뢰",보건의료정책과-24065,박선아,5년,보건의료정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790120
172087636016000,20170728,일반업무관리,"행정국 소속 공무원 복직원 및 휴직원 제출",총무과-26826,정창민,3년,총무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790119
172087636019000,20170728,비상구안전점검운영,"비상구 관리실태 등 확인 조사서(소호리빙텔 노량진점)",예방과-11338,강윤미,3년,예방과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790118
172087636027000,20170728,복무관리,"휴가(공가) 결재 신청 (2017-08-04 김*람)",홍은119안전센터-3255,김가람,3년,홍은119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790117
172087636029000,20170728,구급운영,"구급대원 교육훈련 기록표(김현영)",목동119안전센터-3252,김현영,3년,목동119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790116
172087636033000,20170728,복무관리,"출장 결재 신청 (2017-08-01)",중곡119안전센터-3426,최형근,3년,중곡119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790115
172087636036000,20170728,복무관리,"휴가 결재 신청 (2017-07-31)",천호119안전센터-3648,이승진,3년,천호119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790114
172087636046000,20170728,예산집행및회계관리,"2017년 7월분 특근매식비 지급(구팡돌할매보쌈)",시설계획과-9383,이선옥,5년,시설계획과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790113
172087636049000,20170728,복무관리,"휴가 결재 신청 (2017-08-25 ~ 2017-08-31)",양재119안전센터-4098,조동열,3년,양재119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790112
172087636050000,20170727,구급운영,"2017.07.21.(18:00~09:00 1팀 1소대 야간) 구급출동",천호119안전센터-3638,이보영,3년,천호119안전센터,비공개,,
172087636052000,20170728,복무관리,"휴가 결재 신청 (위. 김대웅)",종합상황실-8962,김대웅,3년,종합상황실,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790111
172087636053000,20170728,보건환경연구원계약관리,"검사원지정요구[2017년 보건환경연구원 e-뉴스레터 제작 용역(7월)]",연구지원부-10659,유경옥,5년,연구지원부,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790110
172087636055000,20170727,복무관리,"강우대비 사전예방 철저 및 비상근무(7.27. 21시 보강) 시행",소방행정과-9234,최명훈,3년,소방행정과,공개,,
172087636057000,20170728,비영리법인단체등록및관리,"문화예술관계 비영리법인 설립허가 검토 보고(정정)(사단법인 CMAK음악인협회)",문화예술과-11000,이채백,영구,문화예술과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790109
172087636061000,20170728,소방용수시설관리,"2017년 8월중 이륜자동차 운영 계획 보고",신교119안전센터-3397,배상식,5년,신교119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790108
172087636062000,20170728,구급운영,"2017.7.25.(18:00 ~ 익일 09:00 1팀 야간) 구급활동일지",영동119안전센터-5321,김지성,3년,영동119안전센터,비공개,,
172087636068000,20170728,보육정보화사업추진,"정보공개 청구에 따른 자료제출 등 협조요청",보육담당관-15461,김효경,5년,보육담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790107
172087636070000,20170728,도로정보화시스템운영,"VPN 계정 생성 요청",도로관리과-12591,송은주,10년,도로관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790106
172087636073000,20170728,장애인인권센터운영,"서울특별시 장애인인권센터 관리·운영 위·수탁 협약서 직인날인 요청",장애인복지정책과-12817,황중섭,5년,장애인복지정책과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790105
172087636084000,20170728,귀농귀촌교육지원,"2017 귀농귀촌 기초영농기술과정 일일교육 추진보고(6.13.화)",서울특별시농업기술센터-11670,박상훈,5년,서울특별시농업기술센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790104
172087636094000,20170728,복무관리,"휴가 결재 신청 (2017-08-03 ~ 2017-08-04)",정보서비스과-6423,이현희,3년,정보서비스과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790103
172087636097000,20170728,화재진압운영,소방활동자료조사서(강서신지타워아파트),현장대응단-6425,정승희,영구,현장대응단,부분공개,,
172087636101000,20170727,복무관리,화재예방점검확인표(2017.7.27.목),재난관리과-6276,정혜연,3년,재난관리과,비공개,,
172087636108000,20170728,화재진압운영,소방활동자료조사서(염창힐스테이트),현장대응단-6426,남궁경,영구,현장대응단,부분공개,,
172087636113000,20170728,구급운영,"2017년 8월 중 일상 구급교육 훈련 계획 보고",신트리119안전센터-3375,황대웅,3년,신트리119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790102
172087636114000,20170727,복무관리,"출장 결재 신청 (소방장 윤형탁)",현장대응단-5826,윤형탁,3년,현장대응단,공개,,
172087636117000,20170727,구급운영,"2017.07.23.(09:00~09:00 1팀 1소대 당번) 구급출동",천호119안전센터-3637,이보영,3년,천호119안전센터,비공개,,
172087636120000,20170728,복무관리,"휴가 결재 신청 (2017-08-01 ~ 2017-08-02)",정보서비스과-6422,이현희,3년,정보서비스과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790101
172087636122000,20170728,예산집행및회계관리,"2017년  7월분 특근매식비 지급(김삼보)",시설계획과-9388,이선옥,5년,시설계획과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790100
172087636128000,20170728,구급운영,"2017.07.25.(화) 구급활동일지[1팀 야간] 보고",거여119안전센터-3795,박진오,3년,거여119안전센터,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790099
172087636129000,20170728,복무관리,"휴가 결재 신청 (2017-08-03)",운영과-3045,안승배,3년,운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12790098
