package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
170891560681000,20170330,공약및지시사항관리,"현장대응단(2팀 1소대) 야간 구급출동 결과 보고",현장대응단-2338,권민정,10년,현장대응단,비공개,,
170891560685000,20170331,소방예방및검사지도업무,"2017년 1/4분기 소방안전 이동정비반 운영실적 보고",천호119안전센터-1510,김호성,5년,천호119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11631716
170891560686000,20170331,예산집행및회계관리,"3월 급량비 지급(두부마을)",급수운영과-7024,이정수,5년,급수운영과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11631715
170891560690000,20170331,교육훈련관리,"구급대원 교육훈련 기록표(이완표)",서빙고119안전센터-1479,이완표,3년,서빙고119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11631714
170891560692000,20170331,구급운영,"구급대원 교육훈련 기록표(장지호)",신림119안전센터-1727,장지호,3년,신림119안전센터,공개,,
170891560693000,20170331,복무관리,"휴가 결재 신청 (2017-04-01 ~ 2017-04-02)",현장대응단-2709,채수영,3년,현장대응단,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11631713
170891560695000,20170331,예산집행및회계관리,"3월중 수서119안전센터 업무추진을 위한 간담회 결과 보고",수서119안전센터-2001,강기헌,5년,수서119안전센터,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/11631712
170891560698000,20170331,여성인력개발기관운영,"2017년 2/4분기 여성새로일하기센터 지정·운영 사업비 교부 통보",여성정책담당관-6471,안미희,5년,여성정책담당관,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11631711
170891560703000,20170331,급수공사완료및사후관리,"급수공사 공사기한 연기 보고",시설관리과-8777,정성오,5년,시설관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/11631710
170891560705000,20170330,일반업무관리,"[이송] 제20회 농림축산식품과학기술대상 포상계획 공고 다시 알림(붙임문서 변경)",도시농업과-5446,김현정,3년,도시농업과,공개,,
170891560708000,20170331,청원경찰관리,"'17년 4월 공공안전관 조별 근무편성표등 제출",잠원안내센터-690,동찬수,3년,잠원안내센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/11631709
