package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
173203284328000,20171116,복무관리,출장결과보고서(2017-11-16),행정지원과-29424,박찬종,3년,행정지원과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870514
173203284336000,20171116,물품구매및관리,"공기충전기 충전냉각시스템 구매 계획",소방행정과-12672,라대로,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870513
173203284340000,20171116,일반업무관리,"조치명령 사전통지 및 의견제출 안내[디마크빌딩]",예방과-36054,송대성,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870512
173203284342000,20171117,예산집행및회계관리,"변경계약 의뢰(2017년 서울시의회 소식지「서울의회」기획·편집·디자인·인쇄)",언론홍보실-3760,김석기,5년,언론홍보실,부분공개,,
173203284343000,20171116,교육훈련관리,"2017년도 11월중 직장교육 계획 알림",소방행정과-14358,이은희,3년,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870511
173203284345000,20171116,복무관리,"휴가 결재 신청 (2017-11-17)",생활환경과-16705,동세원,3년,생활환경과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870510
173203284346000,20171116,공유재산관리,"혜명가압장 정화조 청소 비용 지급",시설관리과-34971,진관용,영구,시설관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870509
173203284348000,20171116,민원관리,"방염성능검사 실시 계획 보고(88-408호 우리시대)",예방과-26922,변선주,10년,예방과,공개,,
173203284354000,20171116,민원관리,"옥외누수신고 민원 처리 완료",급수운영과-30494,이경섭,10년,급수운영과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870508
173203284357000,20171116,교육훈련관리,"외부강의 신고서 제출 취소 (특수구조대)",특수구조대-3724,주원,3년,특수구조대,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870507
173203284358000,20171116,소방안전교육,"소·소·심 소방안전교육 결과보고(석관어린이집)",소방행정과-12968,박명희,3년,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870506
173203284359000,20171116,소방안전교육,"소·소·심 소방안전교육 결과보고(석관어린이집)",소방행정과-12969,박명희,3년,소방행정과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870505
173203284360000,20171116,일반업무관리,"「사당배수지 건설공사 대체지 타당성 조사 용역」하도급 계약 적정성 검토",계획설계과-9312,최영서,3년,계획설계과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13881734
173203284363000,20171116,급수공사완료및사후관리,"급수공사 완료통보(수유동 192-12번지외 3개소)",시설관리과-23968,최형진,5년,시설관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870504
173203284366000,20171116,소방시설업및시설관리업지도감독,"소방시설관리업 등록사항(대표자) 변경신고 처리 알림",예방과-20008,고은철,준영구,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870503
173203284374000,20171116,예산집행및회계관리,"2017년 11월 신문구독료 지급",세제과-16705,곽배호,5년,세제과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870502
173203284379000,20171116,농산물잔류농약검사관리,"농산물 유해안전성 검사 결과 회보(구로구11/6)",강북농수산물검사소-9249,조성애,3년,강북농수산물검사소,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870501
173203284385000,20171116,복무관리,"출장 결재 신청 (2017-11-17)",전략연구과-6339,박찬영,3년,전략연구과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870500
173203284389000,20171117,일반업무관리,"준공검사(감독)조서 송부",주거환경개선과-13005,박용구,3년,주거환경개선과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13892098
173203284393000,20171116,민원관리,"[이송이관](SPP-1711-1500078)교통신호기가 녹이 심하고 벗져지고 있음",기전과-15028,신범철,10년,기전과,부분공개,,
173203284399000,20171117,도로시설물원인자부담금관리,징수결의등록,도로시설과-13819,차금옥,3년,도로시설과,부분공개,,
173203284417000,20171116,교육훈련관리,"외부강의·회의등 신고 승인 통보(백○○)",총무과-13774,왕정순,3년,총무과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870499
173203284428000,20171116,급수공사시행및관리,"급수공사 작업지시 및 통보(강북구 번동 414-42호)-신설 201번",시설관리과-23966,이한수,5년,시설관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870498
173203284433000,20171116,복무관리,"초과근무명령 결재 신청 (2017-11-17~2017-11-17)",동물복지2과-4670,나윤지,3년,동물복지2과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870497
173203284435000,20171116,급여및수당관리,"2017년 하반기 주요수당 자체점검 결과보고",소방행정과-13117,임대진,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870496
173203284440000,20171116,복무관리,"출장결과보고서(2017.  11.  16)",요금과-37034,강충성,3년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870495
173203284441000,20171116,중앙버스민원처리,"[120민원]마포역 중앙차로 정류장 정류장번호 게재 추가[1445116]",교통운영과-22072,이민영,5년,교통운영과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13881733
173203284443000,20171116,소방건축허가등동의협의관리,"소방시설 완공검사 증명서 필증 교부 알림  [마곡지구 D17-11 BL]",예방과-24436,김영철,준영구,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870494
173203284444000,20171116,복무관리,"초과근무확인대장 결재 신청 (2017-11-14~2017-11-15)",운영과-10562,윤진호,3년,운영과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870493
173203284445000,20171116,계량기재검정,"수도미터 검정결과 회신(2-2)",계량기검정과-4477,송홍석,5년,계량기검정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870492
173203284448000,20171116,일반업무관리,"조치명령 사전통지 및 의견제출 안내[벽양빌딩]",예방과-36053,송대성,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870491
173203284461000,20171116,복무관리,출장결과보고서(11.16),요금과-37031,이주향,3년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870490
173203284463000,20171116,수도요금체납관리,"부동산 압류 촉탁(회현동1가 147-23)",요금과-29951,오수연,10년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870489
173203284465000,20171116,소방안전교육,"2017년 다중이용업소 관계인 소방안전교육 『보수교육』 안내(1차)",소방행정과-15401,최수란,3년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870488
173203284474000,20171116,복무관리,"초과근무명령 결재 신청 (2017-11-14~2017-11-16)",질병연구부-19608,박정은,3년,질병연구부,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870487
173203284476000,20171116,보안비밀,"2017년 11월 “사이버보안 진단의 날” 결과보고(신도림)",신도림119안전센터-4948,안영미,영구,신도림119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13870486
173203284479000,20171117,9호선2단계구간운영관리,"9호선 2단계 도시철도운송사업 면허기간 연장관련 회신",교통정책과-11710,박태욱,준영구,교통정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13892099
