package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
171735755299000,20170623,일반업무관리,"급수공사 완료통보",급수운영과-13314,박인호,3년,급수운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12446330
171735755305000,20170622,복무관리,"출장결과 보고(6.22.)",시설계획과-7636,김태호,3년,시설계획과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12426269
171735755312000,20170623,예산집행및회계관리,"직원 특근매식비(명동 칼국수)",식품안전과-18753,김윤정,5년,식품안전과,공개,,
171735755321000,20170622,소장유물관리,"수장고 관리 일지(2017.06.22.)",유물과학과-542,최충기,영구,유물과학과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12426268
171735755330000,20170623,복무관리,"휴가 결재 신청 (2017-06-26)",기획관리과-5824,우성일,3년,기획관리과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12446329
171735755333000,20170622,복무관리,차량운행일지(70저7048),식품안전과-18730,윤민,3년,식품안전과,공개,,
171735755347000,20170623,복무관리,"휴가 결재 신청 (2017-06-23)",일자리정책담당관-11377,노재윤,3년,일자리정책담당관,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12446328
171735755354000,20170623,복무관리,"휴가 결재 신청 (2017-06-23 ~ 2017-07-22)",관리단속과-6502,설한식,3년,관리단속과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/12446327
171735755355000,20170623,소방특별조사,"자체점검대상 표본점검 현장확인 결과보고(다원아트빌)",예방과-11580,이강원,3년,예방과,비공개,,
171735755359000,20170623,소장유물관리,"소장유물자료집8 각정동직업별호구조서 제작",유물관리과-1967,황선희,영구,유물관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12446326
171735755360000,20170622,복무관리,"휴가 결재 신청 (2017-06-26 ~ 2017-06-29)",정수시설과-6110,최년수,3년,정수시설과,공개,,
171735755387000,20170623,복무관리,"출장결과 보고서",급수운영과-11305,박우식,3년,급수운영과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/12446325
171735755390000,20170622,일반업무관리,"차량 운행일지(2017.6.22)",자원순환과-10813,정상호,3년,자원순환과,공개,,
171735755392000,20170623,도시계획위원회운영,"제11차 도시계획위원회 운영비 지급",도시계획과-9346,정예자,영구,도시계획과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/12446324
