package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
183480860054000,20181214,도로굴착및복구,"도로포장 복구의뢰(중랑구 면목동 173-160, 상봉동 105-45, 상봉동 105-57, 상봉동 105-56)",시설관리과-34466,장승화,5년,시설관리과,부분공개,,
183480860069000,20181214,도시농업실습교육장운영,"2018년 12월분 도시농업실습교육장 무인전자경비 비용 지급",서울특별시농업기술센터-16615,이은형,5년,서울특별시농업기술센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779342
183480860072000,20181214,갈등조정코디네이터운영,"옥인1재개발구역 코디네이터 활동수당 지급(11월~12월)",재생협력과-18582,김민지,5년,재생협력과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779343
183480860076000,20181214,위험물제조소등지도감독,"2018년 4분기 위험물운송·운반차량 불시 가두검사계획 보고(알림)",예방과-24561,송규환,준영구,예방과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779344
183480860077000,20181214,장안평일대지역산업발전계획수립,"장안평 도시재생 거버넌스 송년행사 지원계획",도시활성화과-14042,조기석,30년,도시활성화과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779345
183480860080000,20181214,화재발생종합보고서관리,화재발생종합보고서(2018-182),현장대응단-9953,허형찬,영구,현장대응단,비공개,,
183480860085000,20181214,화재안전특별조사,"화재안전특별조사 조사차량 주유대금 지출 의뢰(12월)",예방과-18996,이상영,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779346
183480860088000,20181214,상하수도요금조정및징수,수입금(징수결정)결의서(조정),요금과-32228,서원익,10년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779347
183480860092000,20181214,일반업무관리,"2018년 제6회 세입징수공적심사위원회 결정에 따른 포상금 집행(시세)",38세금징수과-27625,주성호,3년,38세금징수과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779348
183480860096000,20181214,인사관리,"공무직 채용 서류전형 심사계획",행정지원과-26441,김수한,3년,행정지원과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779349
183480860097000,20181214,급수공사완료및사후관리,"개전통지(강동구 둔촌동 609-**, 신설-118)",시설관리과-23028,김정은,5년,시설관리과,부분공개,,
183480860099000,20181214,급수불편민원관리,"급수불편 민원 해소",현장민원과-25897,김성태,10년,현장민원과,부분공개,,
183480860106000,20181214,공무직및준공무직관리,"2019년 공무직 시설경비원 신규채용 면접결과 보고",소방행정과-31402,김태언,3년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779350
183480860110000,20181214,차량운행일지,"차량운행일지 (2018-12-14 / 54구0834)",요금과-32229,박병국,5년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779351
183480860131000,20181214,예산집행및회계관리,"서울협치학교 전문가 네트워크 워크숍 참석수당 지급",민관협력담당관-13342,박정현,5년,민관협력담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16779352
