package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
183410484123000,20181207,초과근무관리,"초과근무내역서(녹번119안전센터, 2018-12-05)",녹번119안전센터-6418,이재은,3년,녹번119안전센터,공개,,
183410484133000,20181207,수산물관원검사관리,"농산물 검사결과 회보(방사능,11/30)",강남농수산물검사소-8955,김태랑,3년,강남농수산물검사소,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720163
183410484152000,20181207,불법주정차순찰및단속,[국민신문고][생활불편신고]불법주차[G000005320178],재난관리과-6874,김운,3년,재난관리과,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720162
183410484157000,20181207,일반업무관리,"혈액공급대금 지출(2018.11월분)",진료부-9375,정화영,3년,진료부,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720161
183410484162000,20181207,초과근무관리,"초과근무명령서(상도 3팀장 남중범 등 9명, 2018-12-07)-수정2차",상도119안전센터-4947,이민우,3년,상도119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720160
183410484170000,20181207,소방건축허가등동의협의관리,"건축신고 신청에 따른 협의 회신 [행당로17길 1-57(행당동317-189),증축]",예방과-14766,박규수,준영구,예방과,비공개,,
183410484176000,20181207,누수민원처리,"옥외누수신고 민원 처리 완료",시설관리과-34627,한상근,5년,시설관리과,부분공개,,
183410484179000,20181207,[장비]소방장비수급및배급관리,"화재안전 보호장비 소모품 구매 대금 지출",소방행정과-12931,하종갑,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720159
183410484183000,20181207,세입조정결의,수입금(징수결정)결의서(조정),요금과-32662,진수각,5년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720158
183410484191000,20181207,복리후생지원,"2018년 11월분 휴게의자 렌탈료 비용 지출",행정지원과-34816,안애경,5년,행정지원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720157
183410484200000,20181207,화재출동및방어검토회의운영,"2018년 11월 중 소방활동검토회의 결과 제출(길동)",길동119안전센터-5305,박세진,영구,길동119안전센터,부분공개,,
183410484203000,20181207,일상경비관리,"4/4분기 정원가산업무추진비 교부",관리단속과-13947,박은화,5년,관리단속과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720156
183410484207000,20181207,공중및민간개방화장실관리및개선,"2018년「시민이 뽑은 우수화장실」선정결과 및 시상식 참여 안내",생활보건과-25667,신귀식,5년,생활보건과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720155
183410484222000,20181207,"종교법인 설립허가 및 지원","종교 비영리법인 정관변경 허가 알림(재단법인 성프란치스꼬수녀회)",문화정책과-14931,박세희,5년,문화정책과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720154
183410484230000,20181207,소방차량점검및유지관리,"2018년 11월중 구급차 외상 주유카드 사용 내역 보고",서초119안전센터-6638,김호경,5년,서초119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720153
183410484231000,20181207,관악구정비구역지정,"회현제2시민아파트 보수요청 등에 대한 회신",공동주택과-20467,한희진,영구,공동주택과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16720152
183410484232000,20181207,민원업무처리,"[국민신문고][생활불편신고]가로등, 신호등 고장[G000005299397]",기전과-5981,전상은,10년,기전과,부분공개,,
