package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
190031696149000,20190103,"구조안전 및 상훈관리","2018년 하반기(4분기) 대테러업무 추진현황 제출(노원)",재난관리과-55,김평숙,3년,재난관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921578
190031696159000,20190104,"서울식물원 자원봉사 관련철","서울식물원 자원봉사단(전시관리) 모집 운영 계획",전시교육과-90,정수미,5년,전시교육과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16929142
190031696182000,20190103,수질검사,"배수지 유해·위험기기 안전검사(호이스트) 신청",행정지원과-179,송철호,3년,행정지원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921577
190031696184000,20190103,수도조례위반단속및과태료청구,"조례위반에 따른 과태료처분 사전통지 및 자진납부 안내",요금과-219,박병국,10년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921576
190031696197000,20190103,"검사지도팀 월보(분기)","84. 2018년 12월 중 자체점검 분야 실적 보고",예방과-170,한도청,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921575
190031696199000,20190103,소방건축허가등비협의관리,"용도변경신고 신청에 따른 협의 회신(비협의 2019-1, 길음동 510-173외 2필지)",예방과-117,박종구,준영구,예방과,비공개,,
190031696203000,20190103,일상경비관리,"[이송] 2019년도 발주기관 정보통신담당자 교육 수요조사 안내",총무과-244,정현호,5년,총무과,공개,,
190031696207000,20190104,마을공동체법인및민간단체관리,"비영리법인 설립 허가 알림 및 설립에 따른 보고사항 제출 요청(비영리법인 중구시민연대)",지역공동체담당관-141,나혜미,준영구,지역공동체담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16929143
190031696210000,20190103,산림분야사업법인관리,"산림사업법인 등록증 기재사항(기술자격자) 변경 알림",자연생태과-121,조우호,준영구,자연생태과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921574
190031696215000,20190103,급수업종변경처리,"급수업종변경 처리조서",요금과-218,서원익,10년,요금과,부분공개,,
190031696229000,20190103,일반업무관리,"근무일지(특수구조대, 2018-12-31)",특수구조대-34,최문철,3년,특수구조대,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921573
190031696230000,20190103,일상경비관리,"현장대응단 2팀 워크숍 관련 과입금액 반납처리 결과보고",현장대응단-57,구지훈,5년,현장대응단,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921572
190031696231000,20190103,어린이집안전및위생관리,"소규모 취약시설(어린이집) 점검대상 전수조사 결과 제출",보육담당관-300,김남철,5년,보육담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921571
190031696233000,20190103,"행정과 일반","2019년도 아산사회복지재단 MIU 장학생 추천 대상자 보고(83)",소방행정과-123,김성호,3년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921570
190031696237000,20190104,급여및수당관리,"2019년 01월 복리후생비 지급",서울특별시아동복지센터-171,최종환,5년,서울특별시아동복지센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16929144
190031696248000,20190103,계약일반,"2019년도 1~3월 발주계획 등록자료 요청",행정지원과-162,서은영,5년,행정지원과,공개,"CC BY",https://opengov.seoul.go.kr/sanction/16921569
190031696256000,20190103,공사및용역계약관리,"2차수 계약 체결 보고[2018년 광진구 관내 상수도 공사-2차(장기계속단가계약)]",행정지원과-172,김현미,5년,행정지원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16928047
190031696263000,20190103,공사및용역계약관리,"공사 2차수 계약 체결(2018년 청룡동 외 9개동 상수도공사(장기계속단가))",행정지원과-222,서명신,5년,행정지원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/16928046
190031696268000,20190103,소방활동자료조사,"인명구조 취약대상 조사서(2019. 1. 3.)",현장대응단-127,김경주,5년,현장대응단,공개,,
