package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
193547996783000,20191220,개전및폐전관리,"수도계량기 폐전처리",요금과-31486,방현기,10년,요금과,부분공개,,
193547996784000,20191220,상하수도요금경정,"요금경정(거여동 258-30)",요금과-20114,강연상,10년,요금과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410101
193547996787000,20191220,"일상감사 수감 및 결과조치","일상감사 의견서 송부(화장실 비상벨시스템 유지관리)",감사담당관-23326,문현주,5년,감사담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410100
193547996789000,20191220,정보공개청구관리,"정보공개 비공개 결정에 대한 이의신청 인용 통지",조사담당관-20528,김현수,10년,조사담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410099
193547996790000,20191220,조달검사원지정요구관리,"검사원지정요구-총무과 부속실 물품 구매-(주)코아스 외 2",재무과-67336,신순철,5년,재무과,부분공개,,
193547996796000,20191220,일상경비,"간담회 비용 지급(소규모 취약 복지시설 점검관련 업무협의)",자활지원과-6466,허광수,5년,자활지원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410098
193547996802000,20191220,도시안전민원처리,"공고번호(폐업)부여 요청[(주)삶터종합건설]",시민봉사담당관-30291,이명동,10년,시민봉사담당관,비공개,,
193547996808000,20191220,법무및규정관리,"참여기술자(건축, 전기분야) 변경 승인 알림",도시철도계획부-11176,장현철,10년,도시철도계획부,공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410097
193547996810000,20191220,차량외주수리관리,"신정노면 보조엔진 라디에이터 수리(80더2305)",서울특별시차량정비센터-15670,국중영,5년,서울특별시차량정비센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410096
193547996811000,20191220,일반업무관리,준공검사(감독)조서,남북협력담당관-11823,김세훈,3년,남북협력담당관,공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410095
193547996815000,20191220,언론및홍보관리,"아리수 광고물 게재 광고료 지출(한국언론진흥재단)",홍보과-11736,조창연,3년,홍보과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410094
193547996816000,20191220,일반업무관리(기타),"[민원] 서울33자20**.승차 위치",교통지도과-14706,이화식,3년,교통지도과,부분공개,,
193547996817000,20191220,급수공사시행및관리,"급수공사 지시 및 통보(동대문구 제기동 442, 개량-54)",시설관리과-31490,최성현,5년,시설관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410093
193547996819000,20191220,예산및결산관리,"공금계좌 현금 출금 및 송금 의뢰",행정지원과-33341,박세웅,5년,행정지원과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410092
193547996832000,20191220,긴급구조훈련관리,"2019년도 긴급구조지원기관 능력평가 회의 개최 계획",재난관리과-7662,김희대,3년,재난관리과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410091
193547996836000,20191220,"자체점검 일반문서","작동기능점검 조치명령서(예가)",예방과-24821,최재구,3년,예방과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410090
193547996837000,20191220,물품구매,"물 품 검 사 (수) 조 서",기획예산과-2978,김민중,5년,기획예산과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410089
193547996843000,20191220,위험물제조소등지도감독,"위험물제조소등 현황 보고(78)",예방과-17102,김양후,준영구,예방과,공개,,
193547996847000,20191220,강남지역장기미집행공원용지보상,"예산 재배정 알림[장기미집행 도시공원 보상사업(근린공원, 강남)-까치산, 현충근린공원]",공원조성과-15895,고소영,준영구,공원조성과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410088
193547996848000,20191220,급여및수당관리,"2019년 12월 초단시간 근로자 고용산재보험료 납부",인권담당관-14282,송승훈,5년,인권담당관,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410087
193547996851000,20191220,의용소방대운영,"의용소방대 재난취약지역 안전지킴이 활동 실시 결과보고",공덕119안전센터-5127,박민,5년,공덕119안전센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410086
193547996853000,20191220,출장관리,"2020《개인전》관련 관외출장 결과보고 2",전시과-8512,이승아,3년,전시과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19410085
